Unlabeled Text,ID,Section,Beni,Me,Vaibhav,Sodiq,Michael,User 6,User 7 ,User 8,Mode,Agreement,,,Fleiss's Kappa ,
Sir I would like to invite you to the meeting we are having later that will be fully discussing and deciding on the supplies we are going to use for this mission we would very much appreciate your input on on these decisions! If your interested the meeting will be at (insert time and location) .,3RSDURM96AM5EFFPP5QCPN0H0KYYEP,4,1,1,e,,,,,,1,0.1666666667,3,,,
"Captain, I've been discussing this matter with my superiors and asking for their recommendations and we haven't gotten into the details about this yet. I will let you know when I hear back from my superiors about this. It should be this afternoon when I get back to you, but I will definitely remind you.",3SKEMFQBZ35TL9GH8N3LO5PKR2T8K7,4,1,1,2,,,,,,1,0.3333333333,3,,,
"Unless you give the Chinese the information they asked, do not expect they would help you. So decide what is more important.",3TDXMTX3CBUFB075F5LBRBEGT3II6O,4,e,e,e,,,,,,#N/A,-0.5,3,,,
"Sir, I appreciate your interest in my case. However, if you could give us more time we will have the answers to all of your questions later today.",3TOK3KHVJTI8BMWDWA38HMAY0N4O7R,4,1,1,1,,,,,,1,1,3,,,
I would be happy to meet with you after the briefing this afternoon.  At that time we can discuss how we will coordinate.,3TR2532VIPUB6BRBXN6B3CTG6I86JP,4,2,2,2,,,,,,2,1,3,,,
Just tell him that you will meet with him as soon as you finish the brief and finalize the details,3TXMY6UCAEOH8F4P243NMDXCGZCQCT,4,e,e,e,,,,,,#N/A,-0.5,3,,,
Im terribly sorry to inform you of this but the meeting discussing this matter will be conducted later on today. I will be sure to let you know the specifics after the meeting.,3U5NZHP4LR2NPBEQOJ2ZXZ4IOVRPH6,4,1,1,1,,,,,,1,1,3,,,
"Captain, we do need to speak, but I do not hae all the intelligence I need yet. Can we speak of this is a little while?",3WI0P0II61SRP8P3FFNYB9PZXLNRDS,4,2,2,1,,,,,,2,0.3333333333,3,,,
"I'm sorry, but I'm busy right now, and the details have not yet been finalized. We'll be having a brief on this issue later.",3WMOAN2SRBXS4RXXDT6B8BQWWVUVNZ,4,2,2,2,,,,,,2,1,3,,,
"Captain, a team member informed me that you were well  interesting in helping my team but sadly i have been really busy that i have not yet had the time to decide what supplies to use for the meeting this afternoon. it will will be a pleasure and a honor for you to decide and take part of this meeting",3WYGZ5XF3WFB4TVQML9Q5WPL3W2KSL,4,1,1,1,,,,,,1,1,3,,,
Oh yes sir my team and I would like to ask you a few more questions to best support both platoons for the mission. I want to make sure that we are like a fine oiled machine.,3Y9N9SS8LYBZ66414PM2TBMJR7A3D3,4,?,e,1,,,,,,#N/A,-0.3333333333,3,,,
Make him understand the situation and tell him to arrange must needed supplies by his own,3Y9N9SS8LYBZ66414PM2TBMJR7BD3E,4,e,e,e,,,,,,#N/A,-0.5,3,,,
I am accessing the need for supplies and manpower and will be meeting with my superiors prior to our meeting this afternoon.,3YDTZAI2WXGQW77TOA7Q2EDGGA314W,4,3,e,1,,,,,,#N/A,-0.3333333333,3,,,
Would you join us for the briefing about the supplies that is taking place a bit later?,3ZOTGHDK5IBUUKG5KD1JCD6UN19OS6,4,2,2,2,,,,,,2,1,3,,,
I understand you wanting to help but I am very busy right now getting ready for a brief later on what supplies to use. Thank you for your patience.,3ZPBJO59KP1E0EB0JAB4X5NTACPDHH,4,3,3,1,,,,,,3,-0.3333333333,3,,,
"Good question, Commander.  I am organizing our plans for the mission now and expect to have details around the supplies finalized after our next meeting this afternoon.",3ZQIG0FLQEGIRL6B5UXY4U3NP79VW1,4,2,2,1,,,,,,2,0.3333333333,3,,,
"Proper procedure would be to wait for the meeting this afternoon. I assure you we have the basic loadout for a humanitarian aid mission, and will expand further on that later this afternoon.",3GU1KF0O4I1DYYB4ORS3BO1KSP2PBJ,5,2,,2,2,,,,,2,1,3,,,
"The basic supplies we brought are food, water and medical equipment, however more details will be shared during the briefing later in the afternoon.",30JNVC0OR9K8PNF5OWHOX4USTR8QHT,5,1,,1,1,,,,,1,1,3,,,
"I would tell him that all pertinent information pertaining to the mission will be discussed during the briefing, he will be informed of all information he needs at that time.",320DUZ38G7MD34GH90FXF3650W2GJS,5,e,,e,e,,,,,#N/A,-0.5,3,,,
"We bought a lot of supplies for this mission but one thing we have for sure is the necessities such as food, water and medical supplies.",34V1S5K3GS1M0ZE2BBFYEIFDADO96P,5,1,,1,2,,,,,1,0.3333333333,3,,,
I will discuss all these details during the meeting this afternoon; we have basic supplies needed for a humanitarian aid mission.,35GMH2SV3EHTK1BNJIHENW2FMAYEOT,5,2,,2,3,,,,,2,0.1666666667,3,,,
"I don't want to give details before being briefed, but there will definitely be a basic loadout for a food, water, and hospital needs",38JBBYETQOAPG8150Y259YWA5JXE4I,5,1,,1,3,,,,,1,0.1666666667,3,,,
"I need to confirm the details at the briefing, but I do know beforehand that our basic plans include a simple loadout for a humanitarian aid mission at the very least.",3BWI6RSP7G9MZVJO2W0CCAGKWLNE72,5,2,,2,2,,,,,2,1,3,,,
We're expecting the usual allotment of supplies for this type of mission.,3EF8EXOTT1VGZPQERHUU8G2ZY7KJ1W,5,3,,2,3,,,,,3,-0.3333333333,3,,,
I will tell you this afternoon until the meeting.,3EFVCAY5L39YAPAZQ239NQP7CDPJ8F,5,3,,3,3,,,,,3,-0.5,3,,,
"I'd prefer to wait until the brief to talk about this, but I do know that I'll have at least a basic load out - including food, water, and hospital equipment - for a loadout.",3FIUS151DV23C2QG1UUUIQEP84LGGO,5,1,,1,1,,,,,1,1,3,,,
"I understand knowing some basic information now would be helpful and I'm not trying to make anything more difficult, but I am going to have to wait until our meeting this afternoon to discuss anything further.",3FK0YFF9PZG5CW66FKS2ISK9IYYVVI,5,3,,3,3,,,,,3,-0.5,3,,,
"Since I have not been to the briefing yet I can not say for certain what most of the supplies will be. I do know that we have basic supplies such as food, water and hospital equipment that will be distributed. However, beyond that I will have to attend the briefing session before I can provide you with any more information.",3GLB5JMZFXV00IGPZ4TMC5BSVC6DGC,5,1,,1,1,,,,,1,1,3,,,
I would prefer to wait until the brief this afternoon.,3KOPY89HM82C9S4TEL8DW9HWWRXJ3N,5,3,,3,3,,,,,3,-0.5,3,,,
"We can discuss the details during the meeting, but we have a basic loadout of food, water, and hospital equiptment.",3L4D84MILZSR30BST6XF03I6FWFJHU,5,1,,1,1,,,,,1,1,3,,,
i have important information but i want to tell everyone at the meeting,3LO69W1SU3DJYU4HCLRAVIJX4L7GLU,5,3,,3,3,,,,,3,-0.5,3,,,
"I would would rather wait to discuss the full exact details later this afternoon, but I know that I will be bring food, water, and hospital equipment for the mission.",3M23Y66PO2745EA1KHFPVDK321D6SX,5,1,,1,1,,,,,1,1,3,,,
I would prefer to wait until the meeting to on discuss the supplies in detail later. We do have the basic necessities available for the mission.,3RRCEFRB7MCR95PLQ70F8QQP2MLB4G,5,2,,2,2,,,,,2,1,3,,,
I rather wait and see what my commander has to say,3TESA3PJ31A3WMION0QK80IJ0C9MMA,5,3,,3,3,,,,,3,-0.5,3,,,
We will discuss our humanitarian aid efforts during the meeting.,3TVRFO09GKFUKGZ71VREJ4JS7B3LXR,5,3,,3,3,,,,,3,-0.5,3,,,
I cannot disclosed the our full load out until I speak to my superiors. The meeting is this afternoon will clear up the details for you and we will try to be accomodating as possible to provide you a list of our supplies at that time.,3YT88D1N08Y7KCABW68PXOH9BGXK3N,5,2,,2,3,,,,,2,0.1666666667,3,,,
"I know we have at least the basic loadout for a humanitarian aid mission, however, I would prefer to wait and continue discussing this after my brief.",3Z4AIRP3C6DHU9V38L9VZPAE95YX1X,5,2,,2,2,,,,,2,1,3,,,
"I'm concerned about this plane delay affecting our mission. I have plenty of supplies, but I will need your soldiers to help me complete this mission.",31IBVUNM9SZGGZKGF5NY06HNU4NFVR,6,2,,1,1,,,,,1,0.3333333333,3,,,
There has been a plane delay we (Americans) can give you supplies but you can't back out of your mission.,31LM9EDVOLSJDWX3W4SS5NF218XNJG,6,3,,3,3,,,,,3,-0.5,3,,,
Sir i wanted to inform you that the planes that are carrying the supplies for the mission are delayed. I can offer you what we have at the moment so we can keep things on schedule and i can use what we get from the planes to replace the supplies that we give to you or we can try and delay the mission slightly to make sure you have all the proper supplies!,31Q0U3WYDPFNFUPCQ85X5QXQ7CM71F,6,1,,1,1,,,,,1,1,3,,,
There's been a small hiccup with the planes carrying some of the equipment -- nothing that can't be fixed by our team providing supplies.,31Q0U3WYDPFNFUPCQ85X5QXQ7CU71N,6,2,,2,e,,,,,2,0.1666666667,3,,,
Are there any supplies your unit needs for the mission?,34MAJL3QP4NM6AL8BEL9Q7SDEUL43V,6,3,,3,1,,,,,3,-0.3333333333,3,,,
"Good afternoon Commander, I was just informed that the supply run was delayed but will be enroute to support the mission. Sir, will this impact the Chinese soldier mission completion deadline? I wanted to verify the details to ensure mission completion and the smooth transition for American troops.",34S6N1K2ZVJXYQZSWR9SGIVYJLULH8,6,2,,2,1,,,,,2,0.3333333333,3,,,
The plane is a bit delayed and while we can offer supplies now we'll need the Chinese soldiers to complete this mission.,34X6J5FLPTY4GTAVCWK99HA76JBJQQ,6,2,,1,e,,,,,#N/A,-0.1666666667,3,,,
"The planes carrying equipment for the Chinese team are delayed, but there are supplies we have on hand that can be used by the team until their equipment arrives.",3570Y55XZPJ3YTBGV0G0PQLTD0NYGG,6,1,,1,1,,,,,1,1,3,,,
"Sir, I have been informed that the planes carrying equipment have been delayed. To adapt, we will need both of our teams to work together to make sure we can complete the mission. My team can offer supplies to help achieve this.",358UUM7WRZ3B8ZOTO2KCBHF3BACR7R,6,1,,1,1,,,,,1,1,3,,,
I can offer supplies but will need your soldiers to complete the mission,36PW28KO4ZW4IXHM9ZCWM1IAXTZEAZ,6,2,,1,2,,,,,2,0.3333333333,3,,,
Let's not worry about the delay of equipment and focus on the supplies we do have so we can complete a successful mission.,373ERPL3YO8Y6XL015NDGD7L079RT9,6,3,,3,1,,,,,3,-0.3333333333,3,,,
I am sorry about the plane delay. We have supplies and it would be very helpful for your soldiers to help us complete the mission.,378XPAWRUCDGY2J85I2N7GG2PM7IAD,6,2,,1,1,,,,,1,0.3333333333,3,,,
"Captain, hypothetically, if this airlift had problems  have you thought what we should do if it does not?",37M28K1J0QDCTD3EN0NNJHV221WJAQ,6,3,,3,3,,,,,3,-0.5,3,,,
"Unfortunately the planes carrying equipment for your team will be delayed. If your soldiers can assist us, we would gladly offer you supplies to help.",37XITHEISW9HKGJPFJSNR37HCLGRCX,6,1,,1,1,,,,,1,1,3,,,
"Lets work together on this load of supplies so when your plane comes in, we will be faster at our mission.",38BQUHLA9W0RWP300G5X047OVCXMOY,6,2,,1,1,,,,,1,0.3333333333,3,,,
I will accept the situation and will convince them to make the mission happen smoothly.,39L1G8WVWQR5EBOPOW27S9LA2A831E,6,e,,e,e,,,,,#N/A,-0.5,3,,,
"Commander, I am hoping the delay of the planes will not interfere with the competition of this mission. If you could check into this further and find a way to expedite this we would appreciate it.",39RP059MEHT7DVERWB0BUK7POD8BMD,6,3,,3,1,,,,,3,-0.3333333333,3,,,
We have plenty of supplies for your folks should they be needed so we can all succeed at this mission.,39ZSFO5CA8WW8MHCT54EJI7W94KUJ9,6,1,,2,1,,,,,1,0.3333333333,3,,,
I can give you supplies but I will need your help in return,3B2X28YI3WF5OSTZ9VTU5OA3YDSB62,6,3,,2,3,,,,,3,-0.3333333333,3,,,
"The supplies will reach you soon i do make alternates for that,now you have to manage complete your missions quickly",3DHE4R9OCWBDX8I92F95GMKOYLRG2G,6,3,,3,3,,,,,3,-0.5,3,,,
"I am aware of your supplies situations, so why don't you and your men help us. You can use my teams supplies and begin with the mission until you have your's and we can finish this mission collectively.",3DYGAII7PL8024DT79PT6DWJFIKPQZ,6,2,,1,1,,,,,1,0.3333333333,3,,,
"There is a delay in your equipment. However, it should not impact your current mission and it's important that you carried out your current mission now. We will get the equipment to you.",3E13VNJ1NNVK4E689Z9UWFNZLSTI1H,6,3,,3,3,,,,,3,-0.5,3,,,
"Hi, I heard that there is a chance the planes will be delayed. Just wanted to let you know that if it is delayed we can offer some supplies, however we will need some Chinese soldiers to complete the mission.",3ERMJ6L4DYSKBJB1JUOVPILT5NTM7E,6,2,,1,1,,,,,1,0.3333333333,3,,,
Would you please see if there is any other plane that could get this mission done!,3FFJ6VRIL1OKXPLQDG5UIA4PG0NI0E,6,3,,3,3,,,,,3,-0.5,3,,,
"I hate to hear about the delay in our planes carrying equipment is there anything myself or my team can do to ensure this mission goes smoothly for all of us whether it's giving you supplies or assisting in any other way, please let me know.",3GA6AFUKOOOGIM93QL5SKW1HJZY3H7,6,1,,1,1,,,,,1,1,3,,,
I heard that your supply shipment has been delayed? What can I offer to help your command in exchange for 300 of your soldiers to complete a job?,3II4UPYCOJ7RD7A320YY6JFU1ZDQDI,6,1,,3,2,,,,,#N/A,-0.1666666667,3,,,
"I know your planes are delayed, but we still need your help.",3IJXV6UZ1XJ8XJ5P7TO9265CPQPRIO,6,3,,3,2,,,,,3,-0.3333333333,3,,,
"If you need help, first you need to show you have already tried your best and worked your butt off,  all the Chinese see you really need help.  Then you have to beg them for help, showing you are humble and will return this favor when they need help.",3IJXV6UZ1XJ8XJ5P7TO9265CPQWRIV,6,e,,e,3,,,,,#N/A,-0.5,3,,,
We are ready to initiate at command. We are here to help in the air.,3K9FOBBF2HJP8ML3ZP45L2SU5XVLN9,6,2,,2,3,,,,,2,0.1666666667,3,,,
"I've just heard your supplies are late. But look, we have plenty and you can help us until yours arrive. What do you say?",3KJYX6QCM9BWL16CYVEJF49FNBTVJZ,6,2,,1,2,,,,,2,0.3333333333,3,,,
The equipment delay will not be a problem as long as you can still provide soldiers for the mission.,3LWJHTCVCCMOBROZT6TOUJIFDC0QF0,6,3,,2,2,,,,,2,0.1666666667,3,,,
"Commander, I understand that your supply plane is delayed. I will supply you with the supplies you need to complete the mission and you can just replenish the supplies you use. That way we can complete the mission in a timely manner and your men do not have to be idle waiting for a plane.",3MRNMEIQW56GMAUQAVQ2PXG0RT5LD3,6,1,,1,1,,,,,1,1,3,,,
"There's a slight delay with the next shipment of supplies, but we need to ensure that your units are still available to help us with this mission.",3N1FSUEFL50KO2N543RL3GEP57VD4N,6,3,,2,3,,,,,3,-0.3333333333,3,,,
How can we support your men? The equipment appears to have been delayed.,3NG53N1RLVJUW0DXLF8TKMBJLCU8P3,6,1,,2,1,,,,,1,0.3333333333,3,,,
"Capt. I apologize about the supplies are running late. Can we use your equipment and what we have right now for us to accomplished our goal, Sir.",3OLQQLKKNSPFJQKQ35P9F0LTNGUJEL,6,2,,e,2,,,,,2,0.1666666667,3,,,
Im terribly sorry to inform you of this but we havent yet discussed the specifics of the equipment we will use. Ill be sure to let you know when i know.,3OVR4I9USPJEDBRA9PX53FLOOMS4QR,6,3,,2,e,,,,,#N/A,-0.3333333333,3,,,
"Sir, it was just brought to my attention that the planes have been delayed. We can offer our own supplies if you allow your men to help us complete the mission.",3PB5A5BD0V6KJ9FF8RQ0CD1W91D7GN,6,1,,1,1,,,,,1,1,3,,,
"Hello sir, I need to offer these supplies to you. The flight will be delayed.",3RXCAC0YIRPOJNKYIWI6QDXRKL7G87,6,1,,2,3,,,,,#N/A,-0.1666666667,3,,,
We are counting on you and your team to carry out this mission smoothly. I've just been notified that our planes carrying the supplies have been delayed but we will assist you in any way we can until they arrive to ensure things stay on schedule.,3S3AMIZX3U5NJ60KXIX3MEQDXKICD5,6,1,,1,2,,,,,1,0.3333333333,3,,,
The plane that is carrying your supplies has been delayed - sorry about that. I will not be able to help you for this mission but I will be able to provide you with sufficient supplies for you to complete the mission yourself,3SITXWYCNV9I77DVAI2K51NNVH1BX6,6,1,,1,2,,,,,1,0.3333333333,3,,,
"sir, even though the plane has been delayed, i currently have supplies that can be used but i will need your soldiers to assist in order to complete the mission.",3TPWUS5F891MSC0BED2TE2FY40LCWB,6,3,,1,1,,,,,1,0.1666666667,3,,,
"Good morning commander, we have enough ammunition to supply your soldiers to complete the mission. Assuming your soldiers will use discretion and efficiency, with regards to gunfire exchange. I can assure you by tonight we will have alot more ammo at our disposal.",3VHP9MDGRNKKHQEGOOSTAETY9X7FCS,6,e,,e,3,,,,,#N/A,-0.5,3,,,
I understand the disorganization that the plane delay has caused for you however we can offer supplies temporaryily,3WSELTNVR3267GZJZU1RLNIB03QATP,6,1,,1,1,,,,,1,1,3,,,
"In order to provide the supplies, we need to complete the mission.  When do you think the mission will be completed?  Thank you.",3X3OR7WPZZ045FYZTNFM352ZG2TL8I,6,3,,2,3,,,,,3,-0.3333333333,3,,,
"Sir, I have just been informed that the plane  carrying your equipment will be on short delay. I have supplies I can give you to cover the delay as if nothing has changed. You will have your supplies and everything you need until the delay is over.",3YZ8UPK3VTM908B6JDNSWEU1JKGUC0,6,1,,1,1,,,,,1,1,3,,,
"I would explain to them the importance of the mission, and let them know I would offer any aid I had avalible to help their mission be a success, and be sympathetic to their concerns while keeping a friendly but firm approach.",3Z4AIRP3C6DHU9V38L9VZPAE95Z1X2,6,e,,e,e,,,,,#N/A,-0.5,3,,,
Offer the supplies and tell him that the condition is that it can be done with the help of the soldiers,3Z4XG4ZF48RZ59FO76IAEZXMNBEX8R,6,e,,e,e,,,,,#N/A,-0.5,3,,,
"Hello Chinese Captain's Commander! Even though the equipment is delayed, we need desperate help because your team cannot back out the mission. What can we do in the meantime to help this situation?",30OG32W0SUBB2GBBI3H1872AW0TENE,8,e,1,1,,,,,,1,0.1666666667,3,,,
I need to talk to who is able to move forward with this with us.,3300DTYQT2HW5DO3YV9IC1XF1BEQEB,8,3,2,3,,,,,,3,-0.3333333333,3,,,
I hate to have to go talk to your commander about this are you sure there isn't anyway you could reconsider and agree to allow your team to provide assistance to us.,339ANSOTR52MAFSUH9FC1UJYUY3KIW,8,1,3,2,,,,,,#N/A,-0.1666666667,3,,,
"I fully understand the your equiment has been delayed, but I need you and your army more than I need equipment.  I do not wnt to go to the Commander, but I really need your help and you are the only one who can help me. Please reconsider your positon.  You are very valuable to me.",34Z02EIMISDA63117S4YWH6YRH40TE,8,1,1,1,,,,,,1,1,3,,,
We need the equipment to carry out our mission. If we dont get it we will fail and your team will be held responsible.,354P56DE9K3N9EO63RKH1RKZXC37S3,8,3,3,1,,,,,,3,-0.3333333333,3,,,
I will if I must go to my commander or we can try to work this out.,358010RM5ETXGLB1FZTK6DHUY94VXJ,8,3,3,3,,,,,,3,-0.5,3,,,
If you back out of the mission I'll need to talk to your commander.,35K3O9HUABDZEOYUKFYO02T1U96EF6,8,3,3,3,,,,,,3,-0.5,3,,,
I will communicate with my Commanding Officer and informed about the situation. I will wait till my commanding officer and his counterpart for a compromise decision.,37Z929RLG98A7CLDGUNI6NCHM9UTS1,8,e,3,e,,,,,,#N/A,-0.5,3,,,
Tell the Chinese captain that you should both go to a superior together so that you don't go behind his back. Go without him if he still doesn't agree.,38F5OAUN5NCYJ5AQSX8IXDDXO1Q7HM,8,e,e,e,,,,,,#N/A,-0.5,3,,,
we are strong enough,39JEC7537U19DN06O3XXS0WKXRPCV7,8,e,3,e,,,,,,#N/A,-0.5,3,,,
"sir, if you are unwilling to assist in this mission, i will be forced to speak with our commanders.",39ZSFO5CA8WW8MHCT54EJI7W94JUJ8,8,3,3,3,,,,,,3,-0.5,3,,,
"Sir, I don't think we need to elicit the help of the chain of command. I'm think we have brains enough to figure this out ourselves.",3A4NIXBJ76ZJQ403NOP58N3U07IML7,8,1,1,2,,,,,,1,0.3333333333,3,,,
"Gosh, I don't want to have my commander get involved in this, let's work it out between us.",3BEFOD78W6TNSWTIHWQOM61JELS4M1,8,1,3,3,,,,,,3,-0.3333333333,3,,,
What equipment are you missing? Maybe we have extras.,3BWI6RSP7G9MZVJO2W0CCAGKWLT7E1,8,e,1,2,,,,,,#N/A,-0.1666666667,3,,,
"Sir, I understand that the supplies are delayed but the mission must carry on and will run smoother if we had the support from your team. Sir, if you could give me some time to talk with the commander to see if we could find a way around this and possibly find another way to get supplies. Thank you sir.",3C8HJ7UOP7U3VTH72PGEG2ESFG1MZ1,8,1,2,1,,,,,,1,0.3333333333,3,,,
"Commander, we both know that if you back out from this mission, I am going to have to request reinforcements from either yours or my commanding officer.",3DOCMVPBTNEFWMOOB2KKYUWJASSNNA,8,1,3,3,,,,,,3,-0.3333333333,3,,,
How about you sticking around for awhile and let's see if we can find something for your guys to do since you are already here.,3DY46V3X3PI7G8CC32SCAWWBSMX55H,8,e,1,e,,,,,,#N/A,-0.3333333333,3,,,
"Just because your supplies are not here you can not back out of the mission, If your team is not willing to help then i have to go and talk to my superior or to your commander to resolve this issue.",3E4GGUZ1T8RIZUESS6UKEECH520K2F,8,3,3,1,,,,,,3,-0.3333333333,3,,,
"Commander, although the planes are delayed, I believe your team can help us.",3FK0YFF9PZG5CW66FKS2ISK9IYWVVG,8,e,1,2,,,,,,#N/A,-0.1666666667,3,,,
Tell your commander to redirect his troops,3GNA64GUZE4W9UVANUGF87R2OIIQ5D,8,e,2,3,,,,,,#N/A,-0.3333333333,3,,,
"If it is out of your control as you say, I need to speak to your commander, or whoever can make this decision about your platoon.",3HYA4D452RJ7J8MERV3NY1KCX6MF2B,8,2,2,3,,,,,,2,0.1666666667,3,,,
I'm sorry but I will have to report this situation to your commander,3I02618YA06SUXKAOI9YGET8I3QPU4,8,3,3,3,,,,,,3,-0.5,3,,,
Hello Chinese Commander. Please send men to help us as we are in dire need of your support.,3I02618YA06SUXKAOI9YGET8I3WUPF,8,e,e,1,,,,,,#N/A,-0.3333333333,3,,,
"I understand that the situation is not ideal for you. However, the importance of the mission at hand means that we will have to overcome any obstacles or difficulties that present themselves. I am confident that we can carry out this mission regardless of whether or not the plane arrives, and I will discuss with your commander if you still do not agree.",3IFS6Q0HJIJKYY52MIOESGA8BS6IS1,8,1,1,1,,,,,,1,1,3,,,
"If your team backs out of the mission, I'll have to go to my commander or the Chinese captain's commander. If this does not work, I'll have to speak directly with your commander.",3J4Q2Z4UTY3QMDAUJV3OY74F8FJQWR,8,2,3,3,,,,,,3,-0.3333333333,3,,,
I appreciate the advanced notice.  My Commander and I will discuss the situation with your Commander to find a solution that gets your platoon back on board with the mission.,3K9FOBBF2HJP8ML3ZP45L2SU5XSNL8,8,2,1,3,,,,,,#N/A,-0.1666666667,3,,,
Go and talk to his commander,3K9FOBBF2HJP8ML3ZP45L2SU5XULN8,8,e,e,e,,,,,,#N/A,-0.5,3,,,
"Yes, you need to talk to your commander for help. You do not talk to his commander directly, knowing where you stand as a soldier is important. Do your job is more important.",3M1CVSFP605TF07RIQ7WGI7OGWOAQ8,8,e,e,e,,,,,,#N/A,-0.5,3,,,
It would be our great honor to receive your valuable assistance. May I make a case to your commander?,3PDJHANYK5GFF5WL9N3QRZD1TQUH6L,8,2,2,2,,,,,,2,1,3,,,
"I would opt to go to his commander.  Once I arrived I would re explain the situation to him, and offer whatever I could as a barganing means for their aid.  I would explain to them that if need be we could share supplies or perhaps even attempt to get an estamate to when their supplies will be coming in, and after that if they would be able to aid me or not.  After that I would return with whatever information I had been given or the outcome of the senario to my commander.",3PJUZCGDJ6G94DXQ4QCWYWB4G8D98A,8,e,e,e,,,,,,#N/A,-0.5,3,,,
"I would talk to the commander of who is over the commander of the Chinese army and explain to the importance of their participation in assisting us. I would also tell him that if their equipment doesn't arrive, they may use ours.",3QRYMNZ7FYHDRZT88Y6W7T2BZAENTB,8,e,e,e,,,,,,#N/A,-0.5,3,,,
"Let's stay on task with our mission, regardless of any delays, so we can avoid escalating this to our commanders to decide.",3QRYMNZ7FYHDRZT88Y6W7T2BZAKTNN,8,1,2,3,,,,,,#N/A,-0.1666666667,3,,,
"I need to speak to your commander, as I am not taking no on this.",3R2PKQ87NW8H03SX2LSSG7B2J3OIMP,8,3,2,3,,,,,,3,-0.3333333333,3,,,
"Sir, a lot depends on your help. We could really use it and would appreciate your cooperation. Please, if I cannot convince you, at least let me speak to your commander.",3RANCT1ZVFHQQ3J05DRXLUOJ1ZBUBO,8,1,1,1,,,,,,1,1,3,,,
"I hate to go over our head here, but I have no choice but to speak with your commander, but I promise it's in the best interest of both our teams.",3SEPORI8WNZ2TS8I5MQ97BJSLZ6AZZ,8,1,1,3,,,,,,1,0.1666666667,3,,,
I am going to talk to your commander directly to seek for help,3TU5ZICBRD1FWCECLSNIKR1TQ8N8Q1,8,3,2,3,,,,,,3,-0.3333333333,3,,,
I am letting you know that I will talk to your superior because your team needs to be there. They have the expertise to help us and are indispensable.,3VBEN272MKZ627Z7WUOB74XSWFPGSI,8,3,2,2,,,,,,2,0.1666666667,3,,,
Since we cannot solve this I think getting your commander involved may help the situation. Lets speak to him to get this issue resolved.,3VFJCI1K4ZZU1SZUH5O6HUSWAD4GRS,8,3,2,2,,,,,,2,0.1666666667,3,,,
We need help on the field!,3VSOLARPKB9N3GRKS9H07F3T0MN93K,8,e,1,3,,,,,,#N/A,-0.3333333333,3,,,
Would it be possible to assist us in this mission prior to your planes coming in? Please as your commander if you can assist in this mission or would you prefer that I ask him or her?,3X0H8UUIT1O2ZTP7BZSTT7JGQ34SWI,8,1,1,1,,,,,,1,1,3,,,
"Captain, I need to speak to your superior, unless you can show me you have the ability to work with me. I really want to believe we can work this directly, without intermediaries. Do you agree?",3X3OR7WPZZ045FYZTNFM352ZG21L8Q,8,1,3,3,,,,,,3,-0.3333333333,3,,,
The current mission requires both of us to work together and therefore we still need your help even if the plane doesn't arrive in time.,3X66WABAJWI2IQES6FNAZWPG4ZQG3Q,8,2,3,3,,,,,,3,-0.3333333333,3,,,
Sir the planes that are inbound with our supplies are delayed a bit. I need you and your men to stay back and help. If you can not agree i will need to go over your head cause you are putting my men at risk abandoning your post before you are properly released. If he disagrees i go to his commander and explain the situation and why i need his men to hang back and also tell him how his team under him handled the situation so that person makes a smarter decision next time!,3XLBSAQ9Z4CKAQAKYJEPXKH2KRZ7Z4,8,e,e,e,,,,,,#N/A,-0.5,3,,,
"Sir, it is important that you maintain the help that was offered. Your team is essential to the mission and without it our mission will fail. Please reconsider, or allow me to go with you to talk to your commander.",3XUHV3NRVKYJW1W744TLZTZ1XVJH55,8,1,1,1,,,,,,1,1,3,,,
"Commander, we require your assistance through any means possible. If you will not be willing to help us, I would need to go to your commander to ask for help.",3YDGXNSEOZU877RENVG5HO0OUGZ84D,8,3,2,2,,,,,,2,0.1666666667,3,,,
It is imperative that we have the planes arrive as quickly as possible. I will try to speak with your commander about this delay if your team cannot offer assistance in a timely manner.,3YT88D1N08Y7KCABW68PXOH9BG0K3Q,8,3,3,3,,,,,,3,-0.5,3,,,
This is an urgent issue. It is important for us to deliver the equipment to your team; please let me talk to your commander.,3Z7ISHFUH0VOA4F38O6VBKDXVB1Z8F,8,3,2,1,,,,,,#N/A,-0.1666666667,3,,,
"Please, bring me to your Commander so that we may discuss this. We were informed that you would be able to assist us and I would like to make this work.",3Z7VU45IPYH6Z4VI93XGWAQPH50Z10,8,2,2,2,,,,,,2,1,3,,,
I really want your help but I must insist on speaking to your commander and I will also speak to mine.,3Z7VU45IPYH6Z4VI93XGWAQPH52Z12,8,2,2,3,,,,,,2,0.1666666667,3,,,
We need your help to provide an efficient service.  Please reconsider so I don't have to waste time going to your commander.,3Z7VU45IPYH6Z4VI93XGWAQPH55Z15,8,2,2,2,,,,,,2,1,3,,,
"If you don't agree to help me, I'll have to speak with your commander. I've also noticed that you were pointing to the supply containers when you were talking to your commander, and I think this is a part of the problem.",36ZN444YTRY506D9F1758B07E33OIA,9,,2,3,3,,,,,3,-0.3333333333,3,,,
If there's nothing he can do I would try to suggest that we talk to his commander together,3C44YUNSI1P6DV9O2NJ96EPKW32PD1,9,,e,e,e,,,,,#N/A,-0.5,3,,,
What equipment are you lacking from your supply containers over there? Maybe we can work together on this.,3FTOP5WARFOGS05WVYQUUBJPTFDJ0S,9,,2,2,1,,,,,2,0.3333333333,3,,,
