id,turk_response_text,prompt_type,assignment,identifier,comment
1625,Your optimal assignment would for you to be on security. ,rewrite,30X31N5D63Q5SGM4AUW1BIMPXLAASZa,16a,
1626,Your assignment in security would be most beneficial to the mission as a whole.,rewrite,30X31N5D63Q5SGM4AUW1BIMPXLAASZb,16b,
1627,"Your support in the aid station is acceptable, but my soldiers will be assigned to distribution.",rewrite,30X31N5D63Q5SGM4AUW1BIMPXLAASZc,16c,
1628,Your assistance is appreciated. Please assemble the supply bags so that my soldiers can distribute.,rewrite,30X31N5D63Q5SGM4AUW1BIMPXLAASZd,16d,
1629,It's imperative you work security. That's how you can be the most helpful.,rewrite,33F859I566DLLHDG5EKY2FZT6SEBHAa,16a,
1630,The whole situation will be helped with you on security.,rewrite,33F859I566DLLHDG5EKY2FZT6SEBHAb,16b,
1631,"If you want to help in the aid station that's okay, but my soldiers will be the ones to hand out supplies.",rewrite,33F859I566DLLHDG5EKY2FZT6SEBHAc,16c,
1632,I suppose you can help. My soldiers will hand out the supply bags you put together.,rewrite,33F859I566DLLHDG5EKY2FZT6SEBHAd,16d,
1633,The best way you can help is work on security. We really need you there.,rewrite,34PGFRQONOB90Q6HO5JF16STTLZWJFa,16a,
1634,"If you're on security instead, it would really help the overall mission.",rewrite,34PGFRQONOB90Q6HO5JF16STTLZWJFb,16b,
1635,It's okay if you help at the aid station as long as my Soldiers are the ones handing out supplies.,rewrite,34PGFRQONOB90Q6HO5JF16STTLZWJFc,16c,
1636,You can help by putting the supply bags together; my Soldiers will hand them out.,rewrite,34PGFRQONOB90Q6HO5JF16STTLZWJFd,16d,
1637,If you will work with security it would be the best way for you to help. ,rewrite,358010RM5ETXGLB1FZTK6DHUXADXVVa,16a,
1638,Security really needs for you to help them. ,rewrite,358010RM5ETXGLB1FZTK6DHUXADXVVb,16b,
1639,If you let us handle the supplies you can still help out. ,rewrite,358010RM5ETXGLB1FZTK6DHUXADXVVc,16c,
1640,We need help putting together the supply bags so that my Soldiers can hand them out.,rewrite,358010RM5ETXGLB1FZTK6DHUXADXVVd,16d,
1641,The best way for you to help is being on security.  I really need you.,rewrite,37U1UTWH9VMF8DTCY7CIPHBYLVR8R5a,16a,
1642,By you being on security it will help the overall mission,rewrite,37U1UTWH9VMF8DTCY7CIPHBYLVR8R5b,16b,
1643,My Soldiers will hand out the supplies and you can help in the aid station.,rewrite,37U1UTWH9VMF8DTCY7CIPHBYLVR8R5c,16c,
1644,You can help by putting the supply bags together.  My Soldiers will hand them out.,rewrite,37U1UTWH9VMF8DTCY7CIPHBYLVR8R5d,16d,
1645,Please take over security. This would be most helpful right now.,rewrite,37W3JXSD668ZVF1GA5KIBT7H6P8YWBa,16a,
1646,The overall mission will be helped if you're on security. ,rewrite,37W3JXSD668ZVF1GA5KIBT7H6P8YWBb,16b,
1647,"My Soldiers will be handing out the supplies, but you can help in the aid station.",rewrite,37W3JXSD668ZVF1GA5KIBT7H6P8YWBc,16c,
1648,"Yes, you can help. You'll be putting supply bags together and my Soldiers will be handing them out.",rewrite,37W3JXSD668ZVF1GA5KIBT7H6P8YWBd,16d,
1649,The best way you can help is on security and that is where I really need you. ,rewrite,37Z929RLG98A7CLDGUNI6NCHLAVST2a,16a,
1650,"With you on security, the overall mission will be helped. ",rewrite,37Z929RLG98A7CLDGUNI6NCHLAVST2b,16b,
1651,Yes you may assist in the aid station. However my soldiers will be handing out all supplies. ,rewrite,37Z929RLG98A7CLDGUNI6NCHLAVST2c,16c,
1652,"Agreed, you may help. Your personnel will assemble the supply bags that my soldiers will then hand out.",rewrite,37Z929RLG98A7CLDGUNI6NCHLAVST2d,16d,
1653,The best way you can help is by joining security. ,rewrite,3907X2AHF05JALB85YZSAVYGYDBP2Ra,16a,
1654,It would help out a lot if you were on security. ,rewrite,3907X2AHF05JALB85YZSAVYGYDBP2Rb,16b,
1655,Okay you can help with the aid station. ,rewrite,3907X2AHF05JALB85YZSAVYGYDBP2Rc,16c,
1656,"Okay, you can help by putting together the supply bags for the soldiers.",rewrite,3907X2AHF05JALB85YZSAVYGYDBP2Rd,16d,
1657,I truly require that you are in the role of security as this will be the most effective method in which you can assist.,rewrite,3AQF3RZ558IV195FEXFQOE1OCCR6FNa,16a,
1658,It will assist the general objective in the event that you are in the role of a guard.,rewrite,3AQF3RZ558IV195FEXFQOE1OCCR6FNb,16b,
1659,"Alright, you may assist in the aid establishment, however my military personnel will have the duty of distributing the supplies.",rewrite,3AQF3RZ558IV195FEXFQOE1OCCR6FNc,16c,
1660,"Ok, you may assist in preparing the supply packs that my military personnel will distribite.",rewrite,3AQF3RZ558IV195FEXFQOE1OCCR6FNd,16d,
1661,You should keep working on security. This will be the most useful.,rewrite,3B2X28YI3WF5OSTZ9VTU5OA3XEZ6B5a,16a,
1662,For the good of the mission you should stay on security.,rewrite,3B2X28YI3WF5OSTZ9VTU5OA3XEZ6B5b,16b,
1663,"Yes, you can join the aid station. The supplies will be handed out by my solders though.",rewrite,3B2X28YI3WF5OSTZ9VTU5OA3XEZ6B5c,16c,
1664,"Alright, you can help with supplies at the aid station. You can assemble the supply bags while my solders hand them out.",rewrite,3B2X28YI3WF5OSTZ9VTU5OA3XEZ6B5d,16d,
1665,You are needed in the security team. That would be your best contribution.,rewrite,3BV8HQ2ZZW105IO73HTYADQXFWDA6Da,16a,
1666,With you being on security the whole mission will be better ,rewrite,3BV8HQ2ZZW105IO73HTYADQXFWDA6Db,16b,
1667,You can assist the soldiers as they are giving away the supplies,rewrite,3BV8HQ2ZZW105IO73HTYADQXFWDA6Dc,16c,
1668,Your best help would be to put together the supply bags and then give them to soldiers to hand out,rewrite,3BV8HQ2ZZW105IO73HTYADQXFWDA6Dd,16d,
1669,The best way you can help is to help in security. ,rewrite,3DBQWDE4Y6YB6XII72OY4DWXI815NCa,16a,
1670,You being on security will help the mission tremendously. ,rewrite,3DBQWDE4Y6YB6XII72OY4DWXI815NCb,16b,
1671,"My Soldiers will hand out the supplies, but you can still help the aid station. ",rewrite,3DBQWDE4Y6YB6XII72OY4DWXI815NCc,16c,
1672,You can help by putting the supply bags together for my Soldiers to hand out.,rewrite,3DBQWDE4Y6YB6XII72OY4DWXI815NCd,16d,
1673,"The best way that you can help, is with you on security.",rewrite,3DY46V3X3PI7G8CC32SCAWWBRN155Ma,16a,
1674,It will help everything if you are on security.,rewrite,3DY46V3X3PI7G8CC32SCAWWBRN155Mb,16b,
1675,"Alright, you can help out in the aid station, but the Soldiers are going to be handing out the supplies.",rewrite,3DY46V3X3PI7G8CC32SCAWWBRN155Mc,16c,
1676,"Ok, you can help out the soldiers by putting the supply bags together.",rewrite,3DY46V3X3PI7G8CC32SCAWWBRN155Md,16d,
1677,"The best way you can help is on security, that's where I need you.",rewrite,3EFVCAY5L39YAPAZQ239NQP7BEXJ8Oa,16a,
1678,"If you are on security, it will be helpful for the overall mission.",rewrite,3EFVCAY5L39YAPAZQ239NQP7BEXJ8Ob,16b,
1679,My soldiers are handing out the supplies at the aid station but you can help there.,rewrite,3EFVCAY5L39YAPAZQ239NQP7BEXJ8Oc,16c,
1680,"Alright, you can help put the supply bags together for my soldiers to hand out.",rewrite,3EFVCAY5L39YAPAZQ239NQP7BEXJ8Od,16d,
1681,You can best assist me by staying on and working in security.,rewrite,3G5W44VEU7I8EOMZRLF9GI6IEMAGK0a,16a,
1682,This task will benefit all of us if we place you on security.,rewrite,3G5W44VEU7I8EOMZRLF9GI6IEMAGK0b,16b,
1683,"I do not have a problem with your assistance at the station, but my soldiers will give the supplies to whoever needs them.",rewrite,3G5W44VEU7I8EOMZRLF9GI6IEMAGK0c,16c,
1684,I will let you help provided you put those bags together for my soldiers to do the distribution.,rewrite,3G5W44VEU7I8EOMZRLF9GI6IEMAGK0d,16d,
1685,The best way you can help is by taking care of security,rewrite,3KYQYYSHYV7OSVXNNN6UHEKULZ4DO7a,16a,
1686,"If you look after security, you are in turn helping us in the overall mission ",rewrite,3KYQYYSHYV7OSVXNNN6UHEKULZ4DO7b,16b,
1687,"You can assist in the aid station, by assisting my soldiers who are going to hand out the supplies.",rewrite,3KYQYYSHYV7OSVXNNN6UHEKULZ4DO7c,16c,
1688,You can go ahead to put the supply bag together for my soldiers to hand out.,rewrite,3KYQYYSHYV7OSVXNNN6UHEKULZ4DO7d,16d,
1689,I need you to move to security so you can help. ,rewrite,3L70J4KAZGMZQR3MD41CGJ0PWI0AD5a,16a,
1690,If you stay on security that will help on your mission. ,rewrite,3L70J4KAZGMZQR3MD41CGJ0PWI0AD5b,16b,
1691,My soldiers will hand out the supplies so you can help with the aid station. ,rewrite,3L70J4KAZGMZQR3MD41CGJ0PWI0AD5c,16c,
1692,"You can help, it is ok, you will need to put the supply bags for the men to hand out.",rewrite,3L70J4KAZGMZQR3MD41CGJ0PWI0AD5d,16d,
1693,You are most needed to work on security.,rewrite,3NC5L260MOMLQFBJET1K5ENFXCKFOKa,16a,
1694,The mission will be benefited with you on security.,rewrite,3NC5L260MOMLQFBJET1K5ENFXCKFOKb,16b,
1695,Your help is needed in the aid station while my soldiers disperse the supplies.,rewrite,3NC5L260MOMLQFBJET1K5ENFXCKFOKc,16c,
1696,I need your assistance with putting the supply bags together for my Soldiers to disperse.,rewrite,3NC5L260MOMLQFBJET1K5ENFXCKFOKd,16d,
1697,I urgently need you on security right away. That is the best way you can be of assistance.,rewrite,3OONKJ5DKCJVDYZ39RFOMOWUIESOBBa,16a,
1698,It will help the collective mission if you are on security.,rewrite,3OONKJ5DKCJVDYZ39RFOMOWUIESOBBb,16b,
1699,"Ok, you can be of assistance in the aid station, but it will me my soldiers who are handing out the provisions.",rewrite,3OONKJ5DKCJVDYZ39RFOMOWUIESOBBc,16c,
1700,"Ok, you can be of assistance. You'll put the supply bags together for my soldiers to distribute.",rewrite,3OONKJ5DKCJVDYZ39RFOMOWUIESOBBd,16d,
1701,The best way you can help is on security.,rewrite,3QEMNNSB2XZH7P5O61PS6SYZVAUD7Ha,16a,
1702,The mission will be helped with you on security.,rewrite,3QEMNNSB2XZH7P5O61PS6SYZVAUD7Hb,16b,
1703,My Soldiers will hand out supplies while you help at the aid station.,rewrite,3QEMNNSB2XZH7P5O61PS6SYZVAUD7Hc,16c,
1704,Help by putting supply bags together to be handed out by the Soldiers.,rewrite,3QEMNNSB2XZH7P5O61PS6SYZVAUD7Hd,16d,
1705,The best way for your team to help is to work the security detail.,rewrite,3RXCAC0YIRPOJNKYIWI6QDXRJMGG8Ha,16a,
1706,The mission will run more smoothly if your team works security.,rewrite,3RXCAC0YIRPOJNKYIWI6QDXRJMGG8Hb,16b,
1707,"Alright, you can work in the aid station, but my Soldiers are going to be distributing the supplies.",rewrite,3RXCAC0YIRPOJNKYIWI6QDXRJMGG8Hc,16c,
1708,"Alright, you and your team can help by putting the supply bags together and my Soldiers will distribute them.",rewrite,3RXCAC0YIRPOJNKYIWI6QDXRJMGG8Hd,16d,
1709,New orders have come down. I need you to assist in securing this area. Your help would be very much appreciated.,rewrite,3TE3O8573084MYRNIQ3HFQYVZVYR2Ka,16a,
1710,This mission will be much more successful if you could assist in security matters.,rewrite,3TE3O8573084MYRNIQ3HFQYVZVYR2Kb,16b,
1711,"My soldiers will be handing out supplies, but your assistance would still be invaluable here in the aid station.",rewrite,3TE3O8573084MYRNIQ3HFQYVZVYR2Kc,16c,
1712,"If you could assist in putting the supply bags together, my soldiers and I would appreciate your help.",rewrite,3TE3O8573084MYRNIQ3HFQYVZVYR2Kd,16d,
1713,I need your best efforts to help guard this area,rewrite,3TU5ZICBRD1FWCECLSNIKR1TP9P8Q4a,16a,
1714,Your task is to have a safety watch in this area,rewrite,3TU5ZICBRD1FWCECLSNIKR1TP9P8Q4b,16b,
1715,Assist the aid station while the troop give out supplies,rewrite,3TU5ZICBRD1FWCECLSNIKR1TP9P8Q4c,16c,
1716,"Ok, your assistance is needed to bag supplies that my troops give out",rewrite,3TU5ZICBRD1FWCECLSNIKR1TP9P8Q4d,16d,
1717,"I need you on security, because it is the best way for you to help.",rewrite,3VAR3R6G1P1CB01W6FVEVM6TA87O8Ca,16a,
1718,It will help the mission if you are on security.,rewrite,3VAR3R6G1P1CB01W6FVEVM6TA87O8Cb,16b,
1719,"Okay.You help in the aid station, but my soldiers will had out the supplies.",rewrite,3VAR3R6G1P1CB01W6FVEVM6TA87O8Cc,16c,
1720,"Okay, you can help out. Put the supplies bags together for the soldiers to hand out.",rewrite,3VAR3R6G1P1CB01W6FVEVM6TA87O8Cd,16d,
1721,You would be most helpful on security. ,rewrite,3WQQ9FUS6AUSS6CN2AQSP26U39O8BSa,16a,
1722,"If you work security, the mission will be better off. ",rewrite,3WQQ9FUS6AUSS6CN2AQSP26U39O8BSb,16b,
1723,"My soldiers will pass out supplies. If you want to help, you can work at the aid station. ",rewrite,3WQQ9FUS6AUSS6CN2AQSP26U39O8BSc,16c,
1724,"If you really want to help, you can. My soldiers will pass out bags of supplies, but you can put them together first.",rewrite,3WQQ9FUS6AUSS6CN2AQSP26U39O8BSd,16d,
1725,Let's have you move to security - it's the best thing for the project.,rewrite,3X73LLYYQ1ENMQ2D84P7TAZNNHSHN5a,16a,
1726,"If you want to help the most, be on the security team.",rewrite,3X73LLYYQ1ENMQ2D84P7TAZNNHSHN5b,16b,
1727,"For this mission, my soldiers will need to distribute supplies.",rewrite,3X73LLYYQ1ENMQ2D84P7TAZNNHSHN5c,16c,
1728,"Okay - assist by assembling the supply bags, and my soldiers will give them out.",rewrite,3X73LLYYQ1ENMQ2D84P7TAZNNHSHN5d,16d,
1729,Your skills will best help on security.,rewrite,3XUHV3NRVKYJW1W744TLZTZ1WWS5H3a,16a,
1730,We need you on security to ensure success for this mission.,rewrite,3XUHV3NRVKYJW1W744TLZTZ1WWS5H3b,16b,
1731,"My soldiers are in charge of handing out supplies, your men can help the aid station.",rewrite,3XUHV3NRVKYJW1W744TLZTZ1WWS5H3c,16c,
1732,"All you need to do is put the supply bags together for my soldiers, nothing else.",rewrite,3XUHV3NRVKYJW1W744TLZTZ1WWS5H3d,16d,
1733,It is true that I need you to ensure security. Make sure this is the best way to help.,rewrite,3Y54SXRO1LLQMPDH5ZIILOU567GTUJa,16a,
1734,The mission as a whole will be helped if all of you are safe.,rewrite,3Y54SXRO1LLQMPDH5ZIILOU567GTUJb,16b,
1735,"I agree with you, you can help at aid station, but they will be my soldiers who give the supplies.",rewrite,3Y54SXRO1LLQMPDH5ZIILOU567GTUJc,16c,
1736,"I agree with you, now you can help. You will handing the bags together for my soldiers.",rewrite,3Y54SXRO1LLQMPDH5ZIILOU567GTUJd,16d,
1737,This is the best way you can help. I need you on security. ,rewrite,3ZSY5X72NXBIT5GS5O1EM31Y00VRORa,16a,
1738,"If you're on security, you'll help the overall mission. ",rewrite,3ZSY5X72NXBIT5GS5O1EM31Y00VRORb,16b,
1739,"My soldiers will be handing out the supplies at the aid station, but you can help.",rewrite,3ZSY5X72NXBIT5GS5O1EM31Y00VRORc,16c,
1740,"All right, you can help the soldiers. You'll make the supply bags for them to hand.",rewrite,3ZSY5X72NXBIT5GS5O1EM31Y00VRORd,16d,
1741,"Please don't leave, sir. This will hurt the mission.",feedback,304SM51WA34ABQRWG8WX6T6VF3YSBFa,17a,
1742,"If you stay, your men can pack supplies and pass out water.",feedback,304SM51WA34ABQRWG8WX6T6VF3YSBFb,17b,
1743,If you leave now it will hurt the mission.,feedback,304SM51WA34ABQRWG8WX6T6VF3YSBFc,17c,
1744,"I understand that you don't want to do this, but leaving will hurt the mission.",feedback,304SM51WA34ABQRWG8WX6T6VF3YSBFd,17d,
1745,"Please do not leave, these refugees really need help, and leaving will have a negative impact on our mission.",feedback,320DUZ38G7MD34GH90FXF365ZXDGJ4a,17a,
1746,It would be best to divide the work. You're team can pack supplies and hand out water while our team distributes the supplies.,feedback,320DUZ38G7MD34GH90FXF365ZXDGJ4b,17b,
1747,"If your team leaves, it will hurt the mission and the people we are trying to help.",feedback,320DUZ38G7MD34GH90FXF365ZXDGJ4c,17c,
1748,"I understand you've objections, but if you leave, our mission will be hurt.",feedback,320DUZ38G7MD34GH90FXF365ZXDGJ4d,17d,
1749,"I understand that you are upset sir, but you and your men are critical to this mission. Please stay for the sake of the mission.",feedback,32RIADZISS4QQR6N1TMAYF0P5BI4SMa,17a,
1750,Can we compromise on the matter? Your team can pack supplies and distribute the water.,feedback,32RIADZISS4QQR6N1TMAYF0P5BI4SMb,17b,
1751,If you leave the mission will be damaged.,feedback,32RIADZISS4QQR6N1TMAYF0P5BI4SMc,17c,
1752,"I understand you want to be treated equally in the mission, but if you leave the mission will suffer.",feedback,32RIADZISS4QQR6N1TMAYF0P5BI4SMd,17d,
1753,"Sir, we don't want you to leave as that will be detrimental to the mission.",feedback,33C7UALJVLYRF8UV0DX3JQTLHX281Ea,17a,
1754,"What we can do however, is have your men pack our supplies and hand out water.",feedback,33C7UALJVLYRF8UV0DX3JQTLHX281Eb,17b,
1755,"If you decide to leave, it will hurt our mission.",feedback,33C7UALJVLYRF8UV0DX3JQTLHX281Ec,17c,
1756,"I understand that you'd rather help out in other ways, but it's just not working out the way it is intended. It'll impact us if you leave however.",feedback,33C7UALJVLYRF8UV0DX3JQTLHX281Ed,17d,
1757,I would respectfully ask you to please stay. Otherwise it will impact the mission.,feedback,33L7PJKHCGYSOS642WHDPWCG9GRT86a,17a,
1758,How about if you guys pack the supplies and distribute the water?,feedback,33L7PJKHCGYSOS642WHDPWCG9GRT86b,17b,
1759,If you leave the mission sufferers.,feedback,33L7PJKHCGYSOS642WHDPWCG9GRT86c,17c,
1760,"Look.I hear what you're saying: you don't want to engage here. But if you leave, the mission suffers.",feedback,33L7PJKHCGYSOS642WHDPWCG9GRT86d,17d,
1761,I would appreciate it if you would stay because your presence is critical to our mission.,feedback,33SA9F9TRXU1PAKPA48O4QF1OD8EWHa,17a,
1762,We already have a system set up but if your men would pack the supplies and pass out water it would be most helpful.,feedback,33SA9F9TRXU1PAKPA48O4QF1OD8EWHb,17b,
1763,You presence is critical to the mission and leaving would endanger it.,feedback,33SA9F9TRXU1PAKPA48O4QF1OD8EWHc,17c,
1764,I can appreciate you position but if you leave the mission will suffer.,feedback,33SA9F9TRXU1PAKPA48O4QF1OD8EWHd,17d,
1765,"Sir, This mission is far more important to help the people, please let us proceed together in a calm reasonable manner. that is what would help the people the most.",feedback,34YB12FSQYO34CM2CXSPVVYM3RAMGGa,17a,
1766,"Sir, you and your men are not aware of our procedures, so i must ask that you help with the logistics of packing supplies and handing out water because that will help us tremendously to free up specialist that are needed in other areas to help the people faster.",feedback,34YB12FSQYO34CM2CXSPVVYM3RAMGGb,17b,
1767,"Sir, if you leave it will hurt the mission of helping your people. Stay your people need you.",feedback,34YB12FSQYO34CM2CXSPVVYM3RAMGGc,17c,
1768,"Sir, i understand you feel this is beneath you, but sometimes its the people in the background that make everything possible. You leaving will only hurt your people.",feedback,34YB12FSQYO34CM2CXSPVVYM3RAMGGd,17d,
1769,"I ask that you reconsider staying, if you leave, it will affect the mission. ",feedback,354P56DE9K3N9EO63RKH1RKZWD87S9a,17a,
1770,"I think we can easily compromise, and your men can help pack the supplies and hand out water. ",feedback,354P56DE9K3N9EO63RKH1RKZWD87S9b,17b,
1771,Leaving would really hurt the mission. ,feedback,354P56DE9K3N9EO63RKH1RKZWD87S9c,17c,
1772,"I understand this isn't what you want to do, but if you leave, it will affect the mission negatively.",feedback,354P56DE9K3N9EO63RKH1RKZWD87S9d,17d,
1773,I respectfully ask you to stay. If you leave the mission will be compromised.,feedback,354P56DE9K3N9EO63RKH1RKZWD97SAa,17a,
1774,How does this sound--your men can pack the supplies and pass out the water.,feedback,354P56DE9K3N9EO63RKH1RKZWD97SAb,17b,
1775,Your leaving will leave the mission in tatters.,feedback,354P56DE9K3N9EO63RKH1RKZWD97SAc,17c,
1776,Look. I get it. This is not what you wanted. But you need to stay or there goes the mission.,feedback,354P56DE9K3N9EO63RKH1RKZWD97SAd,17d,
1777,Please reconsider your decision. Leaving will hurt the mission and you dont want that. Do you? ,feedback,358010RM5ETXGLB1FZTK6DHUXAGVXWa,17a,
1778,"Okay, how about this sir, let your men pack the supplies and pass out the water. How about that? ",feedback,358010RM5ETXGLB1FZTK6DHUXAGVXWb,17b,
1779,"I think that compromise should help. Please dont leave, it will be a bad idea.",feedback,358010RM5ETXGLB1FZTK6DHUXAGVXWc,17c,
1780,I truly understand that this makes you and your men feel less important here and you dont want that but your leaving will hurt both our relationship and the mission.,feedback,358010RM5ETXGLB1FZTK6DHUXAGVXWd,17d,
1781,Please don't leave; it'll hurt the mission.,feedback,36V4Q8R5ZK0UH1GGFTX1P92O9EHQMDa,17a,
1782,Fine. Your men can pack supplies and pass out water.,feedback,36V4Q8R5ZK0UH1GGFTX1P92O9EHQMDb,17b,
1783,Leaving will hurt the mission.,feedback,36V4Q8R5ZK0UH1GGFTX1P92O9EHQMDc,17c,
1784,"I understand if you don't want to do this, but it'll really hurt the mission if you leave.",feedback,36V4Q8R5ZK0UH1GGFTX1P92O9EHQMDd,17d,
1785,Please don't leave. It would really hurt the mission if you do.,feedback,37FMASSAYCRLHCO0BW2J2R0865XBI7a,17a,
1786,Okay how about this: your men can pack the supplies and pass out the water.,feedback,37FMASSAYCRLHCO0BW2J2R0865XBI7b,17b,
1787,Leaving now would really jeopardize the mission.,feedback,37FMASSAYCRLHCO0BW2J2R0865XBI7c,17c,
1788,I understand how you feel but leaving now will really hurt the mission.,feedback,37FMASSAYCRLHCO0BW2J2R0865XBI7d,17d,
1789,The mission will fail if you do not participate.,feedback,388U7OUMF71XQOO933Z3W25G2XI0RDa,17a,
1790,Lets work together by having your men pack supplies and distribute water.,feedback,388U7OUMF71XQOO933Z3W25G2XI0RDb,17b,
1791,Abandoning this site would be mission failure.,feedback,388U7OUMF71XQOO933Z3W25G2XI0RDc,17c,
1792,"I understand your reluctance in participating, but your presence is mission critical.",feedback,388U7OUMF71XQOO933Z3W25G2XI0RDd,17d,
1793,"The mission is very important to us both, please do not leave.",feedback,39LOEL67OS5NPB8ANHBM7J8IFHG836a,17a,
1794,Why don't you have your men pack supplies plus hand out the water?,feedback,39LOEL67OS5NPB8ANHBM7J8IFHG836b,17b,
1795,Let's not forget how important the mission is and we need you to be successful. ,feedback,39LOEL67OS5NPB8ANHBM7J8IFHG836c,17c,
1796,I understand that you want to be treated equally and we want to work together so please do not leave and doom the mission.,feedback,39LOEL67OS5NPB8ANHBM7J8IFHG836d,17d,
1797,I need you on this mission and we all need to work together.,feedback,3A0EX8ZRN8O77C35FEOMOFUWWOTYBYa,17a,
1798,We all need to work together and have hands on all tasks. I need your men to pack supplies and pass out water.,feedback,3A0EX8ZRN8O77C35FEOMOFUWWOTYBYb,17b,
1799,By you leaving it will undermine the mission. I need you to focus on the task at hand.,feedback,3A0EX8ZRN8O77C35FEOMOFUWWOTYBYc,17c,
1800,I understand your concerns but we need help the most by packing supplies and handing out water.,feedback,3A0EX8ZRN8O77C35FEOMOFUWWOTYBYd,17d,
1801,"Sir, if you leave it will compromise this mission. Not only will the mission fail, but the victims will suffer even more.",feedback,3AWETUDC92SHZARGHAIMO97BX8HIZIa,17a,
1802,We can compromise to be equal. The US team will distribute supplies and the Chinese military will pack supplies and distribute water.,feedback,3AWETUDC92SHZARGHAIMO97BX8HIZIb,17b,
1803,"If you leave, it would drastically hurt the mission.",feedback,3AWETUDC92SHZARGHAIMO97BX8HIZIc,17c,
1804,"I fully understand you do not want to do this, but the victims will suffer if you leave. We are here to protect and to serve the people, let's not let them down.",feedback,3AWETUDC92SHZARGHAIMO97BX8HIZId,17d,
1805,Please don't leave now. It will hurt the mission.,feedback,3DI28L7YXAE8O94MDGJ3B0P7S0XE1Ga,17a,
1806,"Alright, your men can pack supplies and pass out water.",feedback,3DI28L7YXAE8O94MDGJ3B0P7S0XE1Gb,17b,
1807,If we leave now it would compromise the mission.,feedback,3DI28L7YXAE8O94MDGJ3B0P7S0XE1Gc,17c,
1808,"I realize you don't want to do this, but it will harm the mission if you leave now.",feedback,3DI28L7YXAE8O94MDGJ3B0P7S0XE1Gd,17d,
1809,It would be greatly apperciated if you would just stay for the sake of the mission.,feedback,3E47SOBEYQW4RHG6PWYEDB6QOQYICMa,17a,
1810,"If it would make things better, your men can pack supplies and pass out water.",feedback,3E47SOBEYQW4RHG6PWYEDB6QOQYICMb,17b,
1811,It would be tragic if you were to leave this mission.,feedback,3E47SOBEYQW4RHG6PWYEDB6QOQYICMc,17c,
1812,"I completely understand you have the best intentions ahead of you, we just can't afford to endanger the mission at the cost of your departure.",feedback,3E47SOBEYQW4RHG6PWYEDB6QOQYICMd,17d,
1813,You're right; sorry about that. We need to work together for the mission to work.,feedback,3FUI0JHJPXY1OE24B0GQG207ZVO339a,17a,
1814,"Alright, what if your men pack supplies and pass water out so we can get this done faster.",feedback,3FUI0JHJPXY1OE24B0GQG207ZVO339b,17b,
1815,"If you left, the mission would be hurt.",feedback,3FUI0JHJPXY1OE24B0GQG207ZVO339c,17c,
1816,"I know you don't want to compromise, but if you leave it will hurt the mission.",feedback,3FUI0JHJPXY1OE24B0GQG207ZVO339d,17d,
1817,"Would you please stay? If you leave, it will cause harm to the mission and to the people we are trying to help. ",feedback,3H8DHMCCW9B524C8PVE1AX3L1UZDKSa,17a,
1818,Your men can pass out water and pack supplies so they're ready for distribution.,feedback,3H8DHMCCW9B524C8PVE1AX3L1UZDKSb,17b,
1819,"If you and your men leave, the mission will not be successful and the refugees will be the ones to suffer.",feedback,3H8DHMCCW9B524C8PVE1AX3L1UZDKSc,17c,
1820,"I understand that you don't want to do this, but it is a necessary part of the mission and if you leave, it will be detrimental to the mission.",feedback,3H8DHMCCW9B524C8PVE1AX3L1UZDKSd,17d,
1821,Please don't leave. It will slow things down and hurt the mission.,feedback,3HMVI3QICJS6UELDDHVXI3HNAC41YKa,17a,
1822,Please get your men to help pack supplies and pass out water.,feedback,3HMVI3QICJS6UELDDHVXI3HNAC41YKb,17b,
1823,Leaving would hurt the mission and the refugees.,feedback,3HMVI3QICJS6UELDDHVXI3HNAC41YKc,17c,
1824,"I understand that you don't care for this, but leaving would negatively impact the mission and our leaders gave us our orders and want this done.",feedback,3HMVI3QICJS6UELDDHVXI3HNAC41YKd,17d,
1825,Please do not leave. It could have grave effects on the mission.,feedback,3HRMW88U16Q6T8BHYV3MA3B6WAIM0Aa,17a,
1826,"We can come to an agreement. It's OK if your men want to go ahead and pass out water, too.",feedback,3HRMW88U16Q6T8BHYV3MA3B6WAIM0Ab,17b,
1827,Leaving will seriously harm the mission.,feedback,3HRMW88U16Q6T8BHYV3MA3B6WAIM0Ac,17c,
1828,"I completely understand that you don't agree with the way we are doing things, and I'm sorry. But if you leave, this could do serious harm to the mission.",feedback,3HRMW88U16Q6T8BHYV3MA3B6WAIM0Ad,17d,
1829,We had a solid plan and procedure in place which your soldiers are not following. It is hurting the machine. Could you please have your people leave so we can do our best work on the machine?,feedback,3IO1LGZLK9XMMUVS6J9KEMK2P8G86Aa,17a,
1830,"How about your men pack supplies and pass out water, and my team will pass out the supplies to the refugees.",feedback,3IO1LGZLK9XMMUVS6J9KEMK2P8G86Ab,17b,
1831,I don't want your team to leave completely. We really appreciate the help and it is good for the mission to work together.,feedback,3IO1LGZLK9XMMUVS6J9KEMK2P8G86Ac,17c,
1832,"I understand you'd like your team to be included in passing out the supplies, but it isn't working out best for the mission. We do need your help though, so please stay.",feedback,3IO1LGZLK9XMMUVS6J9KEMK2P8G86Ad,17d,
1833,"Please do not leave. If you do, it will hurt the mission.",feedback,3IQ1VMJRYTKNN1Q51OWAUNHZ5XPA9Sa,17a,
1834,"OK, let's compromise. Your team can pass out water and pack supplies.",feedback,3IQ1VMJRYTKNN1Q51OWAUNHZ5XPA9Sb,17b,
